Name,MD_Assets
Good,"1,5,6,12,14,16,18,26,28,36,38,45,53,60,62,67,69,71,72,73,77,81,85,93,94,95,96,97,98,99,106,107,108,114,115,116,122,123,124,130,131,132,138,139,140,141,142,143,144,145,146"
Adequate,"2,10,4,7,8,11,13,19,21,23,24,29,31,33,34,39,41,43,44,46,48,49,51,52,54,56,57,58,63,64,65,70,74,75,78,79,82,83,86,87,89,91,101,103,110,112,118,120,126,128,134,136"
Bad,"3,9,15,17,20,22,25,27,30,32,35,37,40,42,47,50,55,59,61,66,68,76,80,84,88,90,92,100,102,104,109,111,113,117,119,121,125,127,129,133,135,137"
